city,county_name,lat,lng
Los Angeles,Los Angeles,34.1139,-118.4068
San Francisco,San Francisco,37.7562,-122.4430
San Diego,San Diego,32.8312,-117.1225
Riverside,Riverside,33.9381,-117.3948
Sacramento,Sacramento,38.5667,-121.4683
San Jose,Santa Clara,37.3019,-121.8486
Fresno,Fresno,36.7831,-119.7941
Concord,Contra Costa,37.9722,-122.0016
Mission Viejo,Orange,33.6095,-117.6550
Bakersfield,Kern,35.3529,-119.0359
Murrieta,Riverside,33.5720,-117.1909
Long Beach,Los Angeles,33.7981,-118.1675
Oakland,Alameda,37.7903,-122.2165
Indio,Riverside,33.7346,-116.2346
Stockton,San Joaquin,37.9765,-121.3109
Oxnard,Ventura,34.1963,-119.1815
Modesto,Stanislaus,37.6374,-121.0028
Anaheim,Orange,33.8390,-117.8572
Victorville,San Bernardino,34.5277,-117.3536
Lancaster,Los Angeles,34.6935,-118.1753
Santa Ana,Orange,33.7366,-117.8819
Santa Rosa,Sonoma,38.4458,-122.7067
Santa Clarita,Los Angeles,34.4175,-118.4964
Antioch,Contra Costa,37.9789,-121.7958
Irvine,Orange,33.6772,-117.7738
Chula Vista,San Diego,32.6281,-117.0145
Fremont,Alameda,37.5265,-121.9852
Visalia,Tulare,36.3276,-119.3269
San Bernardino,San Bernardino,34.1417,-117.2946
Thousand Oaks,Ventura,34.1914,-118.8755
Fontana,San Bernardino,34.0968,-117.4599
Moreno Valley,Riverside,33.9244,-117.2045
Santa Barbara,Santa Barbara,34.4285,-119.7202
Glendale,Los Angeles,34.1818,-118.2468
Huntington Beach,Orange,33.6960,-118.0025
Salinas,Monterey,36.6884,-121.6317
Ontario,San Bernardino,34.0393,-117.6064
Rancho Cucamonga,San Bernardino,34.1248,-117.5666
Hemet,Riverside,33.7341,-116.9969
Santa Cruz,Santa Cruz,36.9789,-122.0346
Oceanside,San Diego,33.2247,-117.3083
Elk Grove,Sacramento,38.4160,-121.3842
Vallejo,Solano,38.1133,-122.2358
Garden Grove,Orange,33.7787,-117.9601
Corona,Riverside,33.8616,-117.5649
Hayward,Alameda,37.6328,-122.0772
Palmdale,Los Angeles,34.5944,-118.1057
Sunnyvale,Santa Clara,37.3836,-122.0256
Pomona,Los Angeles,34.0585,-117.7626
Escondido,San Diego,33.1347,-117.0722
Fairfield,Solano,38.2592,-122.0324
Merced,Merced,37.3057,-120.4778
Torrance,Los Angeles,33.8346,-118.3417
Roseville,Placer,38.7703,-121.3196
Pasadena,Los Angeles,34.1597,-118.1390
Santa Maria,Santa Barbara,34.9334,-120.4432
Orange,Orange,33.8038,-117.8218
Fullerton,Orange,33.8841,-117.9279
Santa Clara,Santa Clara,37.3645,-121.9680
Simi Valley,Ventura,34.2663,-118.7490
Berkeley,Alameda,37.8723,-122.2760
Redding,Shasta,40.5698,-122.3650
East Los Angeles,Los Angeles,34.0326,-118.1691
Yuba City,Sutter,39.1357,-121.6381
Gilroy,Santa Clara,37.0047,-121.5855
Chico,Butte,39.7575,-121.8152
Seaside,Monterey,36.6224,-121.8191
El Monte,Los Angeles,34.0739,-118.0291
Carlsbad,San Diego,33.1247,-117.2837
Temecula,Riverside,33.4928,-117.1315
Clovis,Fresno,36.8278,-119.6831
Costa Mesa,Orange,33.6667,-117.9135
El Centro,Imperial,32.7867,-115.5586
Downey,Los Angeles,33.9379,-118.1312
Richmond,Contra Costa,37.9477,-122.3390
Jurupa Valley,Riverside,34.0010,-117.4705
San Buenaventura,Ventura,34.2741,-119.2314
Inglewood,Los Angeles,33.9566,-118.3444
Turlock,Stanislaus,37.5053,-120.8588
Daly City,San Mateo,37.6862,-122.4685
West Covina,Los Angeles,34.0555,-117.9112
San Mateo,San Mateo,37.5521,-122.3122
Norwalk,Los Angeles,33.9069,-118.0829
Rialto,San Bernardino,34.1174,-117.3894
Manteca,San Joaquin,37.7927,-121.2264
Arden-Arcade,Sacramento,38.6034,-121.3810
El Cajon,San Diego,32.8017,-116.9605
Burbank,Los Angeles,34.1879,-118.3235
Vista,San Diego,33.1896,-117.2386
Vacaville,Solano,38.3590,-121.9680
Tracy,San Joaquin,37.7269,-121.4522
San Marcos,San Diego,33.1350,-117.1744
Hesperia,San Bernardino,34.3975,-117.3147
Compton,Los Angeles,33.8930,-118.2275
Menifee,Riverside,33.6909,-117.1849
Chino,San Bernardino,33.9836,-117.6654
Hanford,Kings,36.3274,-119.6549
South Gate,Los Angeles,33.9448,-118.1926
Carson,Los Angeles,33.8374,-118.2559
Livermore,Alameda,37.6862,-121.7608
Westminster,Orange,33.7523,-117.9938
Santa Monica,Los Angeles,34.0232,-118.4813
San Leandro,Alameda,37.7071,-122.1601
Citrus Heights,Sacramento,38.6948,-121.2880
Hawthorne,Los Angeles,33.9146,-118.3476
Redwood City,San Mateo,37.5026,-122.2252
Lake Forest,Orange,33.6606,-117.6712
Napa,Napa,38.2976,-122.3011
Whittier,Los Angeles,33.9678,-118.0188
Newport Beach,Orange,33.6151,-117.8669
Milpitas,Santa Clara,37.4339,-121.8921
Madera,Madera,36.9631,-120.0782
Chino Hills,San Bernardino,33.9508,-117.7253
Alhambra,Los Angeles,34.0840,-118.1355
Mountain View,Santa Clara,37.4000,-122.0796
Buena Park,Orange,33.8572,-118.0046
Pleasanton,Alameda,37.6663,-121.8805
Folsom,Sacramento,38.6668,-121.1422
Tustin,Orange,33.7309,-117.8106
Lakewood,Los Angeles,33.8471,-118.1221
Perris,Riverside,33.7899,-117.2233
Alameda,Alameda,37.7670,-122.2672
Watsonville,Santa Cruz,36.9206,-121.7706
Porterville,Tulare,36.0644,-119.0338
Upland,San Bernardino,34.1178,-117.6603
Davis,Yolo,38.5552,-121.7365
Camarillo,Ventura,34.2230,-119.0322
Bellflower,Los Angeles,33.8880,-118.1271
San Ramon,Contra Costa,37.7625,-121.9365
Baldwin Park,Los Angeles,34.0829,-117.9721
Rancho Cordova,Sacramento,38.5740,-121.2523
Lodi,San Joaquin,38.1218,-121.2932
Union City,Alameda,37.6030,-122.0187
Apple Valley,San Bernardino,34.5328,-117.2104
Pittsburg,Contra Costa,38.0182,-121.8964
Redlands,San Bernardino,34.0511,-117.1712
El Paso de Robles,San Luis Obispo,35.6394,-120.6560
Walnut Creek,Contra Costa,37.9024,-122.0398
Lynwood,Los Angeles,33.9240,-118.2017
Lake Elsinore,Riverside,33.6847,-117.3344
Rocklin,Placer,38.8075,-121.2488
South San Francisco,San Mateo,37.6536,-122.4197
Yorba Linda,Orange,33.8890,-117.7714
Petaluma,Sonoma,38.2423,-122.6267
Redondo Beach,Los Angeles,33.8574,-118.3766
Laguna Niguel,Orange,33.5275,-117.7050
Florence-Graham,Los Angeles,33.9682,-118.2447
Tulare,Tulare,36.1996,-119.3400
Palo Alto,Santa Clara,37.3913,-122.1468
Dublin,Alameda,37.7161,-121.8963
San Clemente,Orange,33.4498,-117.6103
Brentwood,Contra Costa,37.9355,-121.7191
Carmichael,Sacramento,38.6337,-121.3230
Eastvale,Riverside,33.9617,-117.5802
Castro Valley,Alameda,37.7091,-122.0631
Encinitas,San Diego,33.0490,-117.2613
San Luis Obispo,San Luis Obispo,35.2669,-120.6691
Pico Rivera,Los Angeles,33.9902,-118.0888
Montebello,Los Angeles,34.0155,-118.1108
National City,San Diego,32.6654,-117.0983
Woodland,Yolo,38.6712,-121.7500
La Habra,Orange,33.9278,-117.9513
South Whittier,Los Angeles,33.9336,-118.0311
